// Reference=MNI
// Ahmad2003
// Subjects=15
-60.1	-23.3	-10.47
-53.66	-39.24	3.9
-51.4	-65.45	23.44

// Arredondo2015
// Subjects=16
-26	-94	-12
-48	-28	10
68	-24	0
32	-78	-8
-52	-38	16
-36	22	-2
-2	16	52
58	-22	4
-14	-104	-2
20	-98	-10

// Balsamo2006
// Subjects=23
-41.08	6.75	29.54
-55.94	21.06	24.21
-43.37	20.7	-18.02
-.93	27.62	54.51
-7.39	50	41.92
-7.4	49.73	37.49
-60.01	-48.64	-10.95
-34.75	-30.06	-21.25
-47.32	-57.48	-19.3

// BarthaDoering2018
// Subjects=30
-48	28	16
-6	40	46
-56	-38	-4
-4	-14	8
32	30	-4
36	-32	-4
42	-18	-20

// BarthaDoering2019
// Subjects=18
-45	29	-5
-50	23	18
-23	26	-3
-50	-42	-8
-5	17	55
-42	3	42
-48	15	-21
-33	-12	-26
-50	15	-26
-11	24	37
-38	6	24

// Berl2010
// Subjects=44
-54	-18	-6
-58	-16	0
54	-4	-22
-54	28	0
-2	42	-16
-54	4	36

// Berl2014
// Subjects=57
-48	28	8
-52	34	-6
-44	16	26
-44	8	34
-52	14	-4
-36	-50	-20
0	18	46
32	-62	-24
-4	14	52
36	28	-8
54	-26	4
50	22	24
-10	2	16
-6	-12	10
10	8	12

// Borofsky2010
// Subjects=14
-55.97	20.38	13.15
-58.13	25.99	1.68
-53.91	32.74	7.86
-43.36	27.95	-2.98
51.76	22.57	-.95
39.06	35.62	7.11
41.08	42.69	-15.58
-41.03	3.36	43.09
37.1	18.58	39.37
43.28	42.5	15.49
-3.02	19.19	55.1
-13.66	28.66	38.97
-9.55	55.61	30.45
3.26	26.98	43.43
7.37	47.07	26.49
5.28	40.62	24.73
-57.95	-22.47	2.78
-49.46	-30.53	7.72
56.2	-31.88	4.97
45.62	-25.4	9.03
-55.75	-47.66	4.49
52	-42.83	-.91
-45.09	-31.72	56.61
-32.36	-87.66	2.65
16.27	-93.42	4.98
-34.89	23.82	-2.74
-13.71	18.23	6.39
13.82	8.36	13.57
-26.34	3.42	7.48
-11.5	-9.2	6.04
7.51	-6.81	7.98
-11.31	-80.16	-15.74
26.71	-82.62	-26.89
-60.19	18.25	13.32
-58.12	24.03	4.04
-53.97	31.38	-14.25
47.59	16.91	10.56
56.04	21.46	14.64
43.29	22.1	-7.53
-38.91	3.65	47.49
-38.93	5.48	42.93
41.33	18.75	41.55
43.3	40.67	20.06
-.9	19.35	57.29
5.46	15.2	57.54
-.96	27.08	45.67
-9.5	40.76	29.24
3.26	31.45	47.56
7.4	40.91	29.13
3.27	24.74	41.36
-32.52	-2.06	56.73
-66.44	-14.27	0.05
-57.97	-18.13	4.7
53.98	-9.19	-3.23
-57.84	-49.51	9.07
60.34	-17.82	-7.11
36.98	18.11	-2.78
13.83	6.4	15.92
-15.78	5.47	5.06
-13.58	-13.01	12.97
9.6	-.62	5.33
-15.53	-84.8	-22.06
30.91	-74.04	-25.29

// Brauer2011
// Subjects=10
-54.94	24.32	8.44
-51.83	22.93	-14.79
-23.28	20.22	-11.45
-13.85	66.45	18.63
-10.42	17.68	48.59
-32.81	12.82	-27.53
-64.21	-42.34	6.4
